Province,Count
Gansu,247848	
Qinghai,51100
Guangxi,650000
Guizhou,491000	
Chongqing,341000
Beijing,58000
Fujian, 232000	
Anhui,647000
Guangdong,900000
Xizang,220000
Xinjiang,220000
Hainan,70069
Ningxia, 71612
Shaanxi,373200
Shanxi,336798
Hubei, 501091
Hunan,684000
Sichuan,800000
Yunnan,399300
Hebei,862000
Henan,1500000
Liaoning,195882
Shandong,980000
Tianjin,68000
Jiangxi,628000
Jiangsu,445000
Shanghai,59824
Zhejiang,390900
Jilin,141000
Inner Mongol,211672
Heilongjiang, 191000
Taiwan, 0
Xianggang,128100
Macau,0
