Province,Count
Gansu,249000    
Qinghai,40000
Guangxi,274900
Guizhou,209180
Chongqing,190000
Beijing,110259
Fujian, 250000  
Anhui,463500
Guangdong,517400
Xizang,128100
Xinjiang,128100
Hainan,41000
Ningxia, 50000
Shaanxi,373200
Shanxi,320000
Hubei, 533000
Hunan,480000
Sichuan,453300
Yunnan,181400
Hebei,557600
Henan,780000
Liaoning,270000
Shandong,943522
Tianjin,83600
Jiangxi,350000
Jiangsu,495000
Shanghai,113800
Zhejiang,352000
Jilin,172000
Inner Mongol,200000
Heilongjiang, 219200
Taiwan, 0
Xianggang,128100
Macau,0

